Connections, minTime, maxTime, average
  4992,     1.119,    406.188,     10.094
  5988,     1.659,    426.131,     16.850
  6984,     1.344,    422.082,     20.973
  7980,     2.087,   1675.066,     29.106
  8976,     1.546,    635.799,     20.982
  9972,     2.299,    644.085,     28.130
 10968,     2.516,    649.947,     42.020
 11964,     2.552,    862.380,     30.211
 12960,     1.961,    837.530,     33.977
 13956,     2.229,   1132.133,     57.922
 14952,     2.990,    845.848,     63.303
 15948,     3.804,    922.874,     69.557
 16944,     3.493,    903.280,     61.856
 17940,     3.527,    893.892,     63.013
 18936,     3.234,    451.607,     39.682
 19932,     4.201,    953.111,     73.015
 20928,     4.002,    889.805,     63.380
 21924,     4.741,    898.450,     77.153
 22920,     4.417,   2990.048,     70.753
 23916,     4.014,   1740.207,    122.647
 24912,     4.782,    924.168,     65.591
 25908,     4.716,    873.994,     65.429
 26904,     5.107,   1793.132,    109.538
 27900,     6.138,   1994.042,    146.137
 28896,     5.832,    947.728,    167.082
 29892,     5.633,    935.841,    100.940
 30888,     6.678,   3559.998,    147.687
 31884,     7.144,   3560.427,    131.588
 32880,     8.767,   1766.897,    160.577
 33876,     7.825,   1668.210,    349.439
 34872,     6.181,    919.165,    107.938
 35868,     8.152,   3387.179,    150.478
 36864,     9.214,   1796.592,    212.803
 37860,    10.030,   3390.435,    150.488
 38856,     8.056,   1730.709,    138.984
 39852,     6.203,   3551.701,    156.152
 40848,    10.473,   2783.225,    185.966
 41844,     9.820,   2064.378,    338.306
 42840,    11.478,   6717.076,    246.589
 43836,     9.848,   1743.295,    239.059
 44832,     9.807,   1804.187,    316.876
 45828,    11.492,   3465.282,    160.727
 46824,    10.848,   1817.705,    291.888
 47820,    11.846,   3511.006,    241.740
 48816,    13.501,   3442.033,    220.092
 49812,    11.238,   4242.548,    312.651
 50808,    13.317,   1865.301,    317.185
 51804,    11.072,   4389.005,    321.462
 52800,    10.883,   6701.900,    180.230
 53796,    12.464,   2354.923,    226.577
 54792,    13.988,   4335.680,    214.151
 55788,    15.964,   2083.337,    239.080
 56784,    13.467,   3534.052,    303.744
 57780,    13.862,   6640.189,    333.703
 58776,    16.614,   2466.454,    659.146
 59772,    15.520,   3351.059,    677.290
 60768,    28.180,   3966.852,    584.029
 61764,    15.533,   6548.682,    348.692
 62760,    12.094,   3333.035,    359.886
 63756,    16.467,   3975.486,    584.210
 64752,    14.256,  13226.270,    262.810
 65748,    19.664,   3824.096,    341.642
 66744,    18.281,   3636.090,    330.084
 67740,    14.398,   3405.079,    259.096
 68736,    13.746,   6994.228,    336.222
 69732,    14.611,   6928.368,    346.785
 70728,    13.519,  13469.634,    345.736
 71724,    23.892,   4948.530,    453.711
 72720,    14.496,   3739.011,    649.133
 73716,    14.847,   6525.274,    510.821
 74712,    23.408,   6845.225,    544.485
 75708,    14.726,   3709.741,    344.693
 76704,    18.078,  13148.146,    530.935
 77700,    15.148,  13284.196,    387.323
 78696,    18.330,   3341.633,    515.955
 79692,    19.513,   6727.237,    403.427
 80688,    16.385,  13219.424,    465.851
 81684,    15.682,  13219.201,    354.957
 82680,    18.125,  13545.586,    306.051
 83676,    17.276,  13658.111,    447.442
 84672,    16.828,   7063.843,    511.102
 85668,    16.814,  13361.847,    400.208
 86664,    22.853,   3545.131,    906.698
 87660,    21.736,   6665.993,    618.927
 88656,    15.025,   6805.728,    470.528
 89652,    18.448,   6692.286,    369.722
 90648,    21.783,   6483.455,    409.098
 91644,    16.619,   6553.103,    535.696
 92640,    17.665,   7058.839,    448.939
 93636,    16.651,  13364.493,    592.166
 94632,
