Connections, minTime, maxTime, average
  4992,     1.642,    419.272,     14.807
  5988,     2.103,    809.631,     29.729
  6984,     2.322,    645.653,     43.252
  7980,     2.621,    478.896,     30.720
  8976,     3.111,    667.794,     33.472
  9972,     3.626,    666.918,     43.035
 10968,     3.691,    815.735,     35.988
 11964,     4.225,    907.274,     83.064
 12960,     5.410,    898.748,     99.098
 13956,     4.891,   1145.780,     96.846
 14952,     4.975,    729.211,     52.515
 15948,     4.827,    978.259,     76.300
 16944,     5.557,    915.325,     80.806
 17940,     5.458,    959.136,     57.431
 18936,     6.371,    964.878,     78.260
 19932,     7.161,   1138.917,     97.119
 20928,     6.091,   1061.278,     76.639
 21924,     6.516,   1071.009,     66.803
 22920,     6.436,   1167.431,    115.554
 23916,     7.576,   1125.591,     94.541
 24912,     6.771,   1099.444,    119.994
 25908,     9.313,   1818.188,    113.392
 26904,     7.457,   1383.349,     82.668
 27900,     9.580,   1422.280,    182.952
 28896,     8.103,   1323.408,     79.712
 29892,    11.144,   1924.192,    186.780
 30888,     9.984,   3329.517,    141.560
 31884,     9.873,   1568.545,    145.943
 32880,    10.746,   1680.482,    179.698
 33876,    11.753,   1988.671,    203.080
 34872,    11.159,   1840.169,    142.643
 35868,    13.487,   3364.683,    249.559
 36864,    12.751,   1886.098,    178.226
 37860,    14.015,   1838.287,    163.342
 38856,    13.047,   1958.399,    177.517
 39852,    12.679,   2225.423,    216.727
 40848,    13.546,   1922.735,    268.048
 41844,    13.356,   3453.922,    259.182
 42840,    12.828,   2522.485,    215.286
 43836,    16.039,   2358.068,    261.738
 44832,    16.545,   2473.055,    218.881
 45828,    16.792,   3339.002,    254.111
 46824,    14.745,   2331.210,    131.490
 47820,    15.770,   2473.345,    205.872
 48816,    16.800,   2333.469,    186.709
 49812,    18.092,  13043.932,    331.937
 50808,    18.966,   2850.973,    196.572
 51804,    16.780,   3136.529,    184.834
 52800,    17.536,   2769.521,    250.268
 53796,    16.847,   3349.557,    238.472
 54792,    17.518,   3642.934,    169.932
 55788,    17.749,   3612.477,    262.891
 56784,    20.458,   3107.920,    223.998
 57780,    19.521,   3433.009,    228.761
 58776,    23.210,   3394.186,    317.257
 59772,    22.975,   3432.823,    321.464
 60768,    19.786,   3882.735,    210.777
 61764,    24.405,   6568.582,    384.027
 62760,    20.875,   6600.267,    234.480
 63756,    21.175,   3585.679,    240.622
 64752,    23.244,   4438.842,    218.849
 65748,    14.083,   3879.288,    224.820
 66744,    20.246,   4198.478,    138.102
 67740,    22.901,   6524.259,    336.055
 68736,    23.468,   3675.651,    337.578
 69732,
