Connections, minTime, maxTime, average
  4992,     0.250,    888.482,     25.934
  5988,     0.156,   1977.847,     27.189
  6984,     0.146,   1643.894,     46.950
  7980,     0.186,   1922.976,     36.556
  8976,     0.226,   4435.799,     76.809
  9972,     0.228,   3485.558,     85.570
 10968,     0.447,   4807.953,     81.255
 11964,     0.365,   5142.079,     89.161
 12960,     0.601,   6277.046,    100.907
 13956,     0.812,   6689.950,    106.134
 14952,     0.540,   8241.549,    105.880
 15948,     0.430,   8418.975,    130.429
 16944,     0.229,   7129.946,    128.780
 17940,     0.612,   8600.467,    152.077
 18936,     0.663,  10029.420,    192.182
 19932,     0.985,  11637.253,    159.270
 20928,     0.840,  11395.481,    173.309
 21924,     0.732,  11064.525,    160.938
 22920,     0.721,  11083.105,    183.946
 23916,     0.849,  15896.809,    193.699
 24912,     0.514,  13700.450,    170.583
 25908,     0.799,  14262.474,    224.063
 26904,     0.622,  18213.533,    227.292
 27900,     0.856,  15028.456,    248.973
 28896,     0.776,  19265.769,    257.532
 29892,     1.235,  23045.718,    200.122
 30888,     0.585,  21047.768,    214.663
 31884,     1.110,  24724.992,    293.493
 32880,
